PLANNING AREA,SUBZONE,Age,Sex,Population
ANG MO KIO,ANG MO KIO TOWN CENTRE,4,Total,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,4,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,4,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,5,Total,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,5,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,5,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,6,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,6,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,6,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,7,Total,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,7,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,7,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,8,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,8,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,8,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,9,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,9,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,9,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,10,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,10,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,10,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,11,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,11,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,11,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,12,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,12,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,12,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,13,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,13,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,13,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,14,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,14,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,14,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,15,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,15,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,15,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,16,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,16,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,16,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,17,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,17,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,17,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,18,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,18,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,18,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,19,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,19,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,19,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,20,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,20,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,20,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,21,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,21,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,21,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,22,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,22,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,22,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,23,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,23,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,23,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,24,Total,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,24,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,24,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,25,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,25,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,25,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,26,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,26,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,26,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,27,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,27,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,27,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,28,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,28,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,28,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,29,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,29,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,29,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,30,Total,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,30,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,30,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,31,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,31,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,31,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,32,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,32,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,32,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,33,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,33,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,33,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,34,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,34,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,34,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,35,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,35,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,35,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,36,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,36,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,36,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,37,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,37,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,37,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,38,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,38,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,38,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,39,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,39,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,39,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,40,Total,80
ANG MO KIO,ANG MO KIO TOWN CENTRE,40,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,40,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,41,Total,100
ANG MO KIO,ANG MO KIO TOWN CENTRE,41,Males,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,41,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,42,Total,90
ANG MO KIO,ANG MO KIO TOWN CENTRE,42,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,42,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,43,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,43,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,43,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,44,Total,80
ANG MO KIO,ANG MO KIO TOWN CENTRE,44,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,44,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,45,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,45,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,45,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,46,Total,90
ANG MO KIO,ANG MO KIO TOWN CENTRE,46,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,46,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,47,Total,90
ANG MO KIO,ANG MO KIO TOWN CENTRE,47,Males,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,47,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,48,Total,90
ANG MO KIO,ANG MO KIO TOWN CENTRE,48,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,48,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,49,Total,80
ANG MO KIO,ANG MO KIO TOWN CENTRE,49,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,49,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,50,Total,90
ANG MO KIO,ANG MO KIO TOWN CENTRE,50,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,50,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,51,Total,90
ANG MO KIO,ANG MO KIO TOWN CENTRE,51,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,51,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,52,Total,80
ANG MO KIO,ANG MO KIO TOWN CENTRE,52,Males,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,52,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,53,Total,90
ANG MO KIO,ANG MO KIO TOWN CENTRE,53,Males,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,53,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,54,Total,80
ANG MO KIO,ANG MO KIO TOWN CENTRE,54,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,54,Females,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,55,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,55,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,55,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,56,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,56,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,56,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,57,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,57,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,57,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,58,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,58,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,58,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,59,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,59,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,59,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,60,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,60,Males,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,60,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,61,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,61,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,61,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,62,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,62,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,62,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,63,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,63,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,63,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,64,Total,70
ANG MO KIO,ANG MO KIO TOWN CENTRE,64,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,64,Females,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,65,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,65,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,65,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,66,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,66,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,66,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,67,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,67,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,67,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,68,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,68,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,68,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,69,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,69,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,69,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,70,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,70,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,70,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,71,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,71,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,71,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,72,Total,50
ANG MO KIO,ANG MO KIO TOWN CENTRE,72,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,72,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,73,Total,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,73,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,73,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,74,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,74,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,74,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,75,Total,60
ANG MO KIO,ANG MO KIO TOWN CENTRE,75,Males,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,75,Females,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,76,Total,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,76,Males,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,76,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,77,Total,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,77,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,77,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,78,Total,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,78,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,78,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,79,Total,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,79,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,79,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,80,Total,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,80,Males,-
ANG MO KIO,ANG MO KIO TOWN CENTRE,80,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,81,Total,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,81,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,81,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,82,Total,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,82,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,82,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,83,Total,30
ANG MO KIO,ANG MO KIO TOWN CENTRE,83,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,83,Females,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,84,Total,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,84,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,84,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,85,Total,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,85,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,85,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,86,Total,-
ANG MO KIO,ANG MO KIO TOWN CENTRE,86,Males,-
ANG MO KIO,ANG MO KIO TOWN CENTRE,86,Females,-
ANG MO KIO,ANG MO KIO TOWN CENTRE,87,Total,20
ANG MO KIO,ANG MO KIO TOWN CENTRE,87,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,87,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,88,Total,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,88,Males,-
ANG MO KIO,ANG MO KIO TOWN CENTRE,88,Females,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,89,Total,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,89,Males,-
ANG MO KIO,ANG MO KIO TOWN CENTRE,89,Females,-
ANG MO KIO,ANG MO KIO TOWN CENTRE,90 & Over,Total,40
ANG MO KIO,ANG MO KIO TOWN CENTRE,90 & Over,Males,10
ANG MO KIO,ANG MO KIO TOWN CENTRE,90 & Over,Females,30
ANG MO KIO,CHENG SAN,Total,Total,"26,970"
ANG MO KIO,CHENG SAN,Total,Males,"12,830"
ANG MO KIO,CHENG SAN,Total,Females,"14,140"
ANG MO KIO,CHENG SAN,0,Total,140
ANG MO KIO,CHENG SAN,0,Males,80
ANG MO KIO,CHENG SAN,0,Females,70
ANG MO KIO,CHENG SAN,1,Total,150
ANG MO KIO,CHENG SAN,1,Males,80
ANG MO KIO,CHENG SAN,1,Females,70
ANG MO KIO,CHENG SAN,2,Total,140
ANG MO KIO,CHENG SAN,2,Males,80
ANG MO KIO,CHENG SAN,2,Females,60
ANG MO KIO,CHENG SAN,3,Total,170
ANG MO KIO,CHENG SAN,3,Males,90
ANG MO KIO,CHENG SAN,3,Females,70
ANG MO KIO,CHENG SAN,4,Total,180
ANG MO KIO,CHENG SAN,4,Males,100
ANG MO KIO,CHENG SAN,4,Females,80
ANG MO KIO,CHENG SAN,5,Total,190
ANG MO KIO,CHENG SAN,5,Males,110
ANG MO KIO,CHENG SAN,5,Females,80
ANG MO KIO,CHENG SAN,6,Total,160
ANG MO KIO,CHENG SAN,6,Males,70
ANG MO KIO,CHENG SAN,6,Females,80
ANG MO KIO,CHENG SAN,7,Total,210
ANG MO KIO,CHENG SAN,7,Males,110
ANG MO KIO,CHENG SAN,7,Females,100
ANG MO KIO,CHENG SAN,8,Total,210
ANG MO KIO,CHENG SAN,8,Males,110
ANG MO KIO,CHENG SAN,8,Females,100
ANG MO KIO,CHENG SAN,9,Total,200
ANG MO KIO,CHENG SAN,9,Males,110
ANG MO KIO,CHENG SAN,9,Females,80
ANG MO KIO,CHENG SAN,10,Total,180
ANG MO KIO,CHENG SAN,10,Males,80
ANG MO KIO,CHENG SAN,10,Females,100
ANG MO KIO,CHENG SAN,11,Total,210
ANG MO KIO,CHENG SAN,11,Males,100
ANG MO KIO,CHENG SAN,11,Females,110
ANG MO KIO,CHENG SAN,12,Total,210
ANG MO KIO,CHENG SAN,12,Males,110
ANG MO KIO,CHENG SAN,12,Females,100
ANG MO KIO,CHENG SAN,13,Total,200
ANG MO KIO,CHENG SAN,13,Males,110
ANG MO KIO,CHENG SAN,13,Females,90
ANG MO KIO,CHENG SAN,14,Total,160
ANG MO KIO,CHENG SAN,14,Males,90
ANG MO KIO,CHENG SAN,14,Females,80
ANG MO KIO,CHENG SAN,15,Total,210
ANG MO KIO,CHENG SAN,15,Males,120
ANG MO KIO,CHENG SAN,15,Females,90
ANG MO KIO,CHENG SAN,16,Total,210
ANG MO KIO,CHENG SAN,16,Males,110
ANG MO KIO,CHENG SAN,16,Females,100
ANG MO KIO,CHENG SAN,17,Total,230
ANG MO KIO,CHENG SAN,17,Males,120
ANG MO KIO,CHENG SAN,17,Females,110
ANG MO KIO,CHENG SAN,18,Total,210
ANG MO KIO,CHENG SAN,18,Males,110
ANG MO KIO,CHENG SAN,18,Females,100
ANG MO KIO,CHENG SAN,19,Total,210
ANG MO KIO,CHENG SAN,19,Males,110
ANG MO KIO,CHENG SAN,19,Females,100
ANG MO KIO,CHENG SAN,20,Total,220
ANG MO KIO,CHENG SAN,20,Males,110
ANG MO KIO,CHENG SAN,20,Females,100
ANG MO KIO,CHENG SAN,21,Total,230
ANG MO KIO,CHENG SAN,21,Males,110
ANG MO KIO,CHENG SAN,21,Females,120
ANG MO KIO,CHENG SAN,22,Total,250
ANG MO KIO,CHENG SAN,22,Males,130
ANG MO KIO,CHENG SAN,22,Females,120
ANG MO KIO,CHENG SAN,23,Total,240
ANG MO KIO,CHENG SAN,23,Males,120
ANG MO KIO,CHENG SAN,23,Females,120
ANG MO KIO,CHENG SAN,24,Total,250
ANG MO KIO,CHENG SAN,24,Males,140
ANG MO KIO,CHENG SAN,24,Females,110
ANG MO KIO,CHENG SAN,25,Total,250
ANG MO KIO,CHENG SAN,25,Males,140
ANG MO KIO,CHENG SAN,25,Females,100
ANG MO KIO,CHENG SAN,26,Total,270
ANG MO KIO,CHENG SAN,26,Males,160
ANG MO KIO,CHENG SAN,26,Females,110
ANG MO KIO,CHENG SAN,27,Total,290
ANG MO KIO,CHENG SAN,27,Males,140
ANG MO KIO,CHENG SAN,27,Females,160
ANG MO KIO,CHENG SAN,28,Total,340
ANG MO KIO,CHENG SAN,28,Males,160
ANG MO KIO,CHENG SAN,28,Females,180
ANG MO KIO,CHENG SAN,29,Total,330
ANG MO KIO,CHENG SAN,29,Males,170
ANG MO KIO,CHENG SAN,29,Females,170
ANG MO KIO,CHENG SAN,30,Total,380
ANG MO KIO,CHENG SAN,30,Males,200
ANG MO KIO,CHENG SAN,30,Females,180
ANG MO KIO,CHENG SAN,31,Total,380
ANG MO KIO,CHENG SAN,31,Males,170
ANG MO KIO,CHENG SAN,31,Females,210
ANG MO KIO,CHENG SAN,32,Total,370
ANG MO KIO,CHENG SAN,32,Males,190
ANG MO KIO,CHENG SAN,32,Females,180
ANG MO KIO,CHENG SAN,33,Total,380
ANG MO KIO,CHENG SAN,33,Males,180
ANG MO KIO,CHENG SAN,33,Females,200
ANG MO KIO,CHENG SAN,34,Total,370
ANG MO KIO,CHENG SAN,34,Males,170
ANG MO KIO,CHENG SAN,34,Females,210
ANG MO KIO,CHENG SAN,35,Total,400
ANG MO KIO,CHENG SAN,35,Males,170
ANG MO KIO,CHENG SAN,35,Females,230
ANG MO KIO,CHENG SAN,36,Total,380
ANG MO KIO,CHENG SAN,36,Males,170
ANG MO KIO,CHENG SAN,36,Females,210
ANG MO KIO,CHENG SAN,37,Total,330
ANG MO KIO,CHENG SAN,37,Males,170
ANG MO KIO,CHENG SAN,37,Females,170
ANG MO KIO,CHENG SAN,38,Total,310
ANG MO KIO,CHENG SAN,38,Males,130
ANG MO KIO,CHENG SAN,38,Females,180
ANG MO KIO,CHENG SAN,39,Total,380
ANG MO KIO,CHENG SAN,39,Males,180
ANG MO KIO,CHENG SAN,39,Females,200
ANG MO KIO,CHENG SAN,40,Total,400
ANG MO KIO,CHENG SAN,40,Males,170
ANG MO KIO,CHENG SAN,40,Females,220
ANG MO KIO,CHENG SAN,41,Total,410
ANG MO KIO,CHENG SAN,41,Males,170
ANG MO KIO,CHENG SAN,41,Females,240
ANG MO KIO,CHENG SAN,42,Total,400
ANG MO KIO,CHENG SAN,42,Males,190
ANG MO KIO,CHENG SAN,42,Females,210
ANG MO KIO,CHENG SAN,43,Total,430
ANG MO KIO,CHENG SAN,43,Males,200
ANG MO KIO,CHENG SAN,43,Females,230
ANG MO KIO,CHENG SAN,44,Total,440
ANG MO KIO,CHENG SAN,44,Males,210
ANG MO KIO,CHENG SAN,44,Females,230
ANG MO KIO,CHENG SAN,45,Total,410
ANG MO KIO,CHENG SAN,45,Males,200
ANG MO KIO,CHENG SAN,45,Females,210
ANG MO KIO,CHENG SAN,46,Total,370
ANG MO KIO,CHENG SAN,46,Males,160
ANG MO KIO,CHENG SAN,46,Females,220
ANG MO KIO,CHENG SAN,47,Total,370
ANG MO KIO,CHENG SAN,47,Males,190
ANG MO KIO,CHENG SAN,47,Females,190
ANG MO KIO,CHENG SAN,48,Total,360
ANG MO KIO,CHENG SAN,48,Males,170
ANG MO KIO,CHENG SAN,48,Females,190
ANG MO KIO,CHENG SAN,49,Total,390
ANG MO KIO,CHENG SAN,49,Males,180
ANG MO KIO,CHENG SAN,49,Females,210
ANG MO KIO,CHENG SAN,50,Total,400
ANG MO KIO,CHENG SAN,50,Males,170
ANG MO KIO,CHENG SAN,50,Females,220
ANG MO KIO,CHENG SAN,51,Total,450
ANG MO KIO,CHENG SAN,51,Males,210
ANG MO KIO,CHENG SAN,51,Females,240
ANG MO KIO,CHENG SAN,52,Total,420
ANG MO KIO,CHENG SAN,52,Males,210
ANG MO KIO,CHENG SAN,52,Females,210
ANG MO KIO,CHENG SAN,53,Total,400
ANG MO KIO,CHENG SAN,53,Males,200
ANG MO KIO,CHENG SAN,53,Females,190
ANG MO KIO,CHENG SAN,54,Total,410
ANG MO KIO,CHENG SAN,54,Males,220
ANG MO KIO,CHENG SAN,54,Females,190
ANG MO KIO,CHENG SAN,55,Total,390
ANG MO KIO,CHENG SAN,55,Males,180
ANG MO KIO,CHENG SAN,55,Females,220
ANG MO KIO,CHENG SAN,56,Total,380
ANG MO KIO,CHENG SAN,56,Males,180
ANG MO KIO,CHENG SAN,56,Females,200
ANG MO KIO,CHENG SAN,57,Total,390
ANG MO KIO,CHENG SAN,57,Males,190
ANG MO KIO,CHENG SAN,57,Females,200
ANG MO KIO,CHENG SAN,58,Total,420
ANG MO KIO,CHENG SAN,58,Males,200
ANG MO KIO,CHENG SAN,58,Females,220
ANG MO KIO,CHENG SAN,59,Total,430
ANG MO KIO,CHENG SAN,59,Males,210
ANG MO KIO,CHENG SAN,59,Females,220
ANG MO KIO,CHENG SAN,60,Total,400
ANG MO KIO,CHENG SAN,60,Males,180
ANG MO KIO,CHENG SAN,60,Females,220
ANG MO KIO,CHENG SAN,61,Total,450
ANG MO KIO,CHENG SAN,61,Males,240
ANG MO KIO,CHENG SAN,61,Females,220
ANG MO KIO,CHENG SAN,62,Total,380
ANG MO KIO,CHENG SAN,62,Males,210
ANG MO KIO,CHENG SAN,62,Females,180
ANG MO KIO,CHENG SAN,63,Total,390
ANG MO KIO,CHENG SAN,63,Males,200
ANG MO KIO,CHENG SAN,63,Females,200
ANG MO KIO,CHENG SAN,64,Total,420
ANG MO KIO,CHENG SAN,64,Males,200
ANG MO KIO,CHENG SAN,64,Females,230
ANG MO KIO,CHENG SAN,65,Total,390
ANG MO KIO,CHENG SAN,65,Males,190
ANG MO KIO,CHENG SAN,65,Females,190
ANG MO KIO,CHENG SAN,66,Total,390
ANG MO KIO,CHENG SAN,66,Males,170
ANG MO KIO,CHENG SAN,66,Females,220
ANG MO KIO,CHENG SAN,67,Total,400
ANG MO KIO,CHENG SAN,67,Males,150
ANG MO KIO,CHENG SAN,67,Females,250
ANG MO KIO,CHENG SAN,68,Total,410
ANG MO KIO,CHENG SAN,68,Males,180
ANG MO KIO,CHENG SAN,68,Females,230
ANG MO KIO,CHENG SAN,69,Total,430
